Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
Probation,1,Caucasian,-353116800,22,Intake,English,Post Sentence,Probation,Divorced,1414368000,1,8,Low
PRETRIAL,1,Caucasian,-153878400,22,Intake,English,Pretrial,Jail Inmate,Single,1368144000,1,8,Low
PRETRIAL,1,Caucasian,763776000,22,Intake,English,Pretrial,Jail Inmate,Single,1361232000,2,8,Medium
PRETRIAL,0,African-American,457920000,22,Intake,English,Pretrial,Jail Inmate,Single,1388880000,1,8,Medium
PRETRIAL,1,Caucasian,-329702400,17,Intake,English,Post Sentence,Probation,Single,1367280000,1,8,Low
Probation,1,Caucasian,135216000,22,Intake,English,Other,Probation,Married,1400112000,1,8,Low
PRETRIAL,1,African-American,585187200,22,Intake,English,Pretrial,Jail Inmate,Single,1391385600,1,8,Low
Probation,1,Hispanic,609465600,22,Intake,English,Post Sentence,Probation,Single,1359676800,1,8,Medium
PRETRIAL,1,African-American,829785600,22,Intake,English,Pretrial,Pretrial Defendant,Single,1405036800,4,8,High
PRETRIAL,1,Caucasian,7084800,22,Intake,English,Post Sentence,Probation,Single,1383868800,1,8,Low
PRETRIAL,1,Caucasian,409881600,22,Intake,English,Pretrial,Jail Inmate,Single,1403913600,3,8,High
PRETRIAL,1,Caucasian,-202608000,22,Intake,English,Pretrial,Jail Inmate,Married,1375574400,1,8,Low
Probation,0,African-American,664848000,22,Intake,English,Post Sentence,Probation,Single,1400112000,2,8,Medium
Probation,1,African-American,411350400,22,Intake,English,Other,Probation,Single,1386633600,1,8,Low
PRETRIAL,0,African-American,663292800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1362614400,1,8,Low
PRETRIAL,1,Other,-249091200,22,Intake,English,Pretrial,Jail Inmate,Married,1361404800,1,8,Low
PRETRIAL,1,Caucasian,146275200,22,Intake,English,Pretrial,Jail Inmate,Single,1399507200,1,8,Low
PRETRIAL,1,African-American,269827200,22,Intake,English,Pretrial,Jail Inmate,Single,1373328000,1,8,Low
Probation,0,Caucasian,-605836800,22,Intake,English,Post Sentence,Probation,Single,1391472000,1,8,Low
PRETRIAL,0,African-American,361843200,22,Intake,English,Pretrial,Pretrial Defendant,Single,1379462400,3,8,High
Probation,0,Caucasian,795571200,22,Intake,English,Post Sentence,Probation,Single,1376524800,2,8,Medium
PRETRIAL,1,Caucasian,-291945600,22,Intake,English,Pretrial,Jail Inmate,Married,1366675200,1,8,Low
PRETRIAL,1,Caucasian,446256000,22,Intake,English,Post Sentence,Probation,Single,1361232000,1,8,Medium
PRETRIAL,1,Caucasian,760406400,22,Intake,English,Post Sentence,Probation,Single,1371686400,3,8,High
PRETRIAL,1,African-American,-168652800,22,Intake,English,Post Sentence,Probation,Single,1365984000,3,8,High
Probation,0,African-American,-188179200,22,Intake,English,Post Sentence,Probation,Single,1408320000,1,8,Low
Probation,1,Hispanic,-157939200,22,Intake,English,Post Sentence,Probation,Married,1389139200,1,8,Low
Probation,1,Other,207532800,22,Intake,English,Post Sentence,Probation,Married,1382572800,1,8,Low
PRETRIAL,1,Caucasian,507427200,22,Intake,English,Pretrial,Pretrial Defendant,Single,1380067200,1,8,Low
PRETRIAL,0,African-American,340848000,22,Intake,English,Post Sentence,Probation,Single,1381363200,1,8,Low
PRETRIAL,1,African-American,600220800,22,Intake,English,Pretrial,Jail Inmate,Single,1366761600,4,8,High
PRETRIAL,1,African-American,439171200,22,Intake,English,Pretrial,Jail Inmate,Single,1411084800,3,8,High
PRETRIAL,0,Caucasian,-669513600,22,Intake,English,Post Sentence,Probation,Single,1404691200,1,8,Low
PRETRIAL,1,African-American,537753600,22,Intake,English,Post Sentence,Probation,Single,1406764800,2,8,Medium
PRETRIAL,0,African-American,838512000,22,Intake,English,Pretrial,Jail Inmate,Single,1414368000,4,8,High
Probation,1,Caucasian,390700800,22,Intake,English,Other,Probation,Separated,1365465600,1,8,Low
DRRD,1,African-American,647913600,17,Intake,English,Post Sentence,Pretrial Defendant,Single,1362441600,3,8,Medium
PRETRIAL,1,African-American,-270691200,22,Intake,English,Pretrial,Pretrial Defendant,Single,1388361600,1,8,Low
Probation,1,African-American,512697600,22,Intake,English,Pretrial,Jail Inmate,Single,1399852800,2,8,Medium
PRETRIAL,1,African-American,-103248000,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1416960000,2,8,Medium
Probation,0,African-American,600307200,22,Intake,English,Post Sentence,Probation,Single,1362441600,1,8,Medium
PRETRIAL,1,Caucasian,621820800,22,Intake,English,Pretrial,Jail Inmate,Single,1393977600,1,8,Low
Probation,1,Caucasian,-938131200,22,Intake,English,Post Sentence,Probation,Single,1384905600,1,8,Low
Probation,1,African-American,-213408000,22,Intake,English,Post Sentence,Probation,Single,1373328000,1,8,Low
Probation,1,Caucasian,587606400,22,Intake,English,Post Sentence,Probation,Single,1383523200,1,8,Low
PRETRIAL,1,African-American,671328000,22,Intake,English,Pretrial,Jail Inmate,Single,1398124800,4,8,High
PRETRIAL,1,Native American,37843200,22,Intake,English,Pretrial,Jail Inmate,Divorced,1395619200,1,8,Low
PRETRIAL,1,Caucasian,746409600,22,Intake,English,Pretrial,Jail Inmate,Single,1376265600,2,8,Low
Probation,0,African-American,573523200,22,Intake,English,Post Sentence,Probation,Single,1389916800,1,8,Low
PRETRIAL,1,Caucasian,302832000,22,Intake,English,Pretrial,Jail Inmate,Single,1408579200,2,8,Medium
PRETRIAL,1,Caucasian,723427200,22,Intake,English,Pretrial,Jail Inmate,Single,1415577600,1,8,Low
Probation,0,Hispanic,668304000,17,Intake,English,Post Sentence,Jail Inmate,Single,1366243200,1,8,Low
PRETRIAL,1,African-American,515376000,22,Intake,English,Pretrial,Jail Inmate,Single,1393718400,1,8,Low
PRETRIAL,1,Caucasian,285984000,22,Intake,English,Pretrial,Pretrial Defendant,Single,1366243200,1,8,Low
Probation,1,Hispanic,580521600,22,Intake,English,Post Sentence,Probation,Single,1369699200,1,8,Low
PRETRIAL,1,Other,242352000,22,Intake,English,Pretrial,Jail Inmate,Single,1380499200,1,8,Low
PRETRIAL,1,Caucasian,2851200,22,Intake,English,Pretrial,Jail Inmate,Single,1368316800,1,8,Low
PRETRIAL,0,Caucasian,575942400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1360627200,3,8,High
PRETRIAL,1,Caucasian,156470400,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1415750400,1,8,Low
PRETRIAL,1,Caucasian,218160000,22,Intake,English,Pretrial,Jail Inmate,Single,1389571200,1,8,Low
PRETRIAL,1,African-American,29635200,22,Intake,English,Pretrial,Jail Inmate,Single,1360800000,1,8,Low
PRETRIAL,1,African-American,501897600,17,Intake,English,Pretrial,Pretrial Defendant,Married,1400544000,4,8,High
PRETRIAL,1,Caucasian,198288000,22,Intake,English,Pretrial,Jail Inmate,Single,1416355200,3,8,High
PRETRIAL,1,African-American,467424000,22,Intake,English,Pretrial,Jail Inmate,Single,1412208000,2,8,Medium
PRETRIAL,1,Hispanic,622425600,22,Intake,English,Pretrial,Jail Inmate,Single,1358812800,1,8,Low
PRETRIAL,1,African-American,638755200,22,Intake,English,Pretrial,Jail Inmate,Single,1362355200,2,8,Medium
PRETRIAL,0,Caucasian,-236304000,22,Intake,English,Post Sentence,Probation,Single,1410739200,1,8,Low
PRETRIAL,1,African-American,757900800,22,Intake,English,Pretrial,Pretrial Defendant,Single,1389312000,2,8,Medium
Probation,1,Caucasian,741052800,22,Intake,English,Post Sentence,Probation,Single,1366934400,4,8,High
PRETRIAL,1,Hispanic,199584000,22,Intake,English,Pretrial,Jail Inmate,Married,1398384000,1,8,Low
PRETRIAL,1,Other,-121996800,22,Intake,English,Pretrial,Jail Inmate,Married,1407110400,1,8,Low
Probation,1,African-American,-219024000,22,Intake,English,Post Sentence,Probation,Single,1392681600,1,8,Low
PRETRIAL,0,Caucasian,798768000,22,Intake,English,Pretrial,Jail Inmate,Single,1407369600,2,8,Medium
PRETRIAL,1,Caucasian,542851200,22,Intake,English,Pretrial,Jail Inmate,Single,1391731200,1,8,Low
Probation,0,African-American,638236800,22,Intake,English,Post Sentence,Probation,Single,1371686400,1,8,Medium
PRETRIAL,1,African-American,660960000,22,Intake,English,Pretrial,Jail Inmate,Single,1363737600,4,8,High
PRETRIAL,1,Hispanic,603158400,22,Intake,English,Pretrial,Jail Inmate,Single,1403740800,1,8,Low
PRETRIAL,1,African-American,791164800,22,Intake,English,Pretrial,Jail Inmate,Single,1402617600,3,8,Medium
PRETRIAL,1,Caucasian,264297600,22,Intake,English,Pretrial,Jail Inmate,Single,1383609600,2,8,Medium
PRETRIAL,1,African-American,443923200,22,Intake,English,Pretrial,Jail Inmate,Single,1357084800,2,8,Medium
Probation,1,Hispanic,141350400,22,Intake,English,Post Sentence,Probation,Single,1364169600,1,8,Low
PRETRIAL,1,Caucasian,-222307200,22,Intake,English,Pretrial,Jail Inmate,Married,1371427200,1,8,Low
PRETRIAL,1,African-American,629510400,22,Intake,English,Pretrial,Jail Inmate,Single,1381104000,2,8,Medium
PRETRIAL,0,African-American,561340800,22,Intake,English,Pretrial,Jail Inmate,Single,1383868800,1,8,Low
PRETRIAL,1,African-American,670291200,22,Intake,English,Pretrial,Jail Inmate,Married,1376524800,4,8,High
Probation,1,African-American,159580800,22,Intake,English,Post Sentence,Probation,Single,1386547200,2,8,Medium
PRETRIAL,1,Caucasian,424310400,22,Intake,English,Pretrial,Jail Inmate,Single,1400716800,1,8,Low
PRETRIAL,0,Caucasian,160272000,22,Intake,English,Pretrial,Jail Inmate,Single,1359590400,4,8,High
PRETRIAL,1,African-American,525571200,17,Intake,English,Post Sentence,Probation,Single,1358467200,3,8,High
PRETRIAL,0,Caucasian,308534400,22,Intake,English,Pretrial,Pretrial Defendant,Single,1415923200,1,8,Low
Probation,0,Caucasian,-457315200,22,Intake,English,Post Sentence,Probation,Married,1359936000,1,8,Low
PRETRIAL,1,African-American,752716800,22,Intake,English,Pretrial,Jail Inmate,Single,1363824000,4,8,High
Probation,1,Caucasian,313545600,22,Intake,English,Post Sentence,Probation,Married,1408924800,1,8,Low
PRETRIAL,0,Other,626054400,22,Intake,English,Pretrial,Jail Inmate,Single,1411257600,1,8,Low
PRETRIAL,1,African-American,-297302400,22,Intake,English,Pretrial,Jail Inmate,Single,1411862400,3,8,High
PRETRIAL,1,African-American,782092800,22,Intake,English,Pretrial,Jail Inmate,Single,1369440000,2,8,Medium
