Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
PRETRIAL,1,African-American,732817427.0,22,Intake,English,Pretrial,Jail Inmate,Single,1413251956.0,1,8,Low
Probation,0,Caucasian,1981443715.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1398356778.0,1,8,Low
DRRD,1,African-American,1770426532.0,17,Intake,English,Post Sentence,Parole,Divorced,1371263672.0,1,8,Low
PRETRIAL,1,African-American,798217958.0,22,Intake,English,Pretrial,Jail Inmate,Single,1373277201.0,1,8,Low
PRETRIAL,0,Caucasian,364684887.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419952716.0,1,8,Low
PRETRIAL,1,Caucasian,2714661278.0,22,Intake,English,Pretrial,Jail Inmate,Divorced,1394502664.0,1,8,Low
PRETRIAL,1,Hispanic,249901026.0,22,Intake,English,Pretrial,Jail Inmate,Single,1367112475.0,1,8,Low
Probation,1,African-American,3014194438.0,22,Intake,Spanish,Parole Violator,Residential Program,Widowed,1367168416.0,1,8,Medium
PRETRIAL,0,Caucasian,3199319541.0,22,Intake,English,Pretrial,Jail Inmate,Separated,1366716058.0,2,8,Medium
Probation,1,Caucasian,3058384805.0,22,Intake,English,Post Sentence,Probation,Single,1378104862.0,1,8,Low
PRETRIAL,1,Caucasian,1216217873.0,22,Intake,English,Pretrial,Jail Inmate,Divorced,1400200643.0,2,8,Medium
Probation,1,Caucasian,363645429.0,22,Intake,English,Post Sentence,Probation,Single,1365049694.0,1,8,Low
PRETRIAL,1,Hispanic,644050852.0,22,Intake,English,Pretrial,Jail Inmate,Single,1367848901.0,1,8,Low
Probation,0,Asian,403267649.0,22,Intake,English,Parole Violator,Residential Program,Widowed,1414504199.0,1,8,Medium
Probation,1,Hispanic,1328284696.0,22,Intake,English,Post Sentence,Probation,Single,1370925831.0,3,8,High
Probation,1,African-American,323539892.0,22,Intake,English,Post Sentence,Probation,Single,1357820280.0,3,8,High
Probation,1,African-American,2952096072.0,22,Intake,English,Other,Prison Inmate,Divorced,1395706643.0,3,8,High
PRETRIAL,0,African-American,1701351029.0,22,Intake,Spanish,Post Sentence,Probation,Single,1412707269.0,2,8,Medium
Probation,1,Other,3094175697.0,22,Intake,English,Pretrial,Jail Inmate,Single,1392165165.0,2,8,Medium
Probation,1,Other,3108683704.0,22,Intake,English,Post Sentence,Probation,Married,1384977026.0,1,8,Medium
PRETRIAL,0,African-American,648517665.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1414721604.0,2,8,Medium
Probation,1,African-American,3081492179.0,22,Intake,English,Other,Probation,Single,1410367192.0,1,8,Medium
PRETRIAL,0,Caucasian,425836093.0,22,Intake,English,Pretrial,Pretrial Defendant,Single,1416164268.0,1,8,Low
PRETRIAL,1,African-American,391935582.0,22,Intake,English,Pretrial,Jail Inmate,Single,1419601764.0,3,8,Medium
Probation,1,African-American,674077855.0,22,Intake,English,Post Sentence,Probation,Married,1416452506.0,3,8,High
PRETRIAL,0,Caucasian,457686767.0,22,Intake,English,Pretrial,Jail Inmate,Single,1361572148.0,1,8,Low
PRETRIAL,1,African-American,510302990.0,22,Intake,English,Pretrial,Jail Inmate,Single,1405008836.0,3,8,High
Probation,0,African-American,3220508315.0,22,Intake,English,Post Sentence,Probation,Single,1416625183.0,2,8,Medium
Probation,1,Hispanic,270288644.0,22,Intake,English,Post Sentence,Probation,Single,1380538890.0,1,8,Low
