Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
PRETRIAL,1,Oriental,-669483384.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358469428.0,1,8,Medium
PRETRIAL,0,African-American,352056181.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357438795.0,1,8,Low
PRETRIAL,1,Oriental,-300979178.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1358484108.0,4,8,Medium
PRETRIAL,0,Caucasian,403677826.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357389498.0,1,8,Medium
PRETRIAL,0,African-American,429682043.0,22,Intake,English,Pretrial,Probation,Single,1358457310.0,1,8,Medium
PRETRIAL,1,Oriental,-1229995178.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1359393534.0,3,8,Medium
PRETRIAL,1,Oriental,45584414.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1359471087.0,1,8,Medium
Probation,1,African-American,-3927232.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358546724.0,2,8,Medium
Probation,0,Hispanic,426108674.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1358461029.0,2,8,Low
PRETRIAL,1,African-American,-1211607021.0,17,Intake,English,Post Sentence,Probation,Divorced,1359466852.0,2,8,Low
PRETRIAL,1,Hispanic,-250740504.0,17,Intake,English,Pretrial,Probation,Widowed,1358333961.0,1,8,Medium
PRETRIAL,0,Hispanic,-910581283.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1358278957.0,2,8,Medium
PRETRIAL,1,Hispanic,-1242679631.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358480688.0,1,8,Medium
Probation,0,Caucasian,42699734.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1357404324.0,1,8,Medium
PRETRIAL,1,Asian,440717569.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357439154.0,4,8,Medium
PRETRIAL,0,Asian,402811176.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1357458760.0,1,8,Medium
PRETRIAL,0,Hispanic,-1177976833.0,17,Intake,English,Pretrial,Residential Program,Single,1357403506.0,4,8,Low
PRETRIAL,0,Hispanic,-758270670.0,17,Intake,English,Pretrial,Jail Inmate,Single,1357452980.0,1,8,Medium
PRETRIAL,0,Oriental,-1188232797.0,17,Intake,English,Post Sentence,Jail Inmate,Widowed,1359414654.0,1,8,Medium
Probation,1,African-American,-869623066.0,17,Intake,English,Post Sentence,Probation,Single,1358397951.0,3,8,Medium
Probation,1,African-American,-930627576.0,17,Intake,English,Pretrial,Probation,Single,1357475685.0,4,8,Medium
PRETRIAL,1,African-American,-887381237.0,17,Intake,English,Pretrial,Probation,Divorced,1358445775.0,1,8,Medium
PRETRIAL,0,African-American,-869965965.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1357415317.0,3,8,Low
PRETRIAL,0,Asian,-892105623.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358449823.0,4,8,Low
PRETRIAL,0,Hispanic,425649687.0,17,Intake,English,Pretrial,Jail Inmate,Divorced,1358504928.0,1,8,Medium
PRETRIAL,0,Hispanic,-952209968.0,17,Intake,English,Pretrial,Residential Program,Single,1358267464.0,4,8,Medium
PRETRIAL,1,Hispanic,421736979.0,22,Intake,English,Post Sentence,Residential Program,Widowed,1358426038.0,1,8,Medium
Probation,0,Hispanic,-899637896.0,17,Intake,English,Post Sentence,Residential Program,Single,1358498723.0,3,8,Low
PRETRIAL,1,Oriental,471078947.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358440432.0,3,8,Medium
PRETRIAL,1,Hispanic,-862982805.0,22,Intake,English,Post Sentence,Residential Program,Single,1358386058.0,2,8,Medium
PRETRIAL,0,Hispanic,-707343347.0,17,Intake,English,Pretrial,Residential Program,Single,1357470084.0,1,8,Medium
PRETRIAL,1,Hispanic,-1182555773.0,17,Intake,English,Pretrial,Residential Program,Widowed,1357472139.0,1,8,Medium
PRETRIAL,0,African-American,403840180.0,17,Intake,English,Post Sentence,Residential Program,Single,1359475787.0,1,8,Medium
PRETRIAL,1,Hispanic,459951820.0,17,Intake,English,Post Sentence,Jail Inmate,Divorced,1358573107.0,1,8,Medium
PRETRIAL,1,African-American,-1215180902.0,17,Intake,English,Pretrial,Jail Inmate,Widowed,1359465877.0,2,8,Medium
PRETRIAL,1,African-American,378444686.0,17,Intake,English,Pretrial,Residential Program,Single,1357400982.0,1,8,Medium
PRETRIAL,1,African-American,451159701.0,17,Intake,English,Post Sentence,Residential Program,Divorced,1357466015.0,2,8,Medium
PRETRIAL,1,Caucasian,-921489964.0,22,Intake,English,Pretrial,Probation,Divorced,1359480970.0,2,8,Low
Probation,0,Hispanic,461993878.0,17,Intake,English,Post Sentence,Jail Inmate,Single,1358346409.0,1,8,Low
PRETRIAL,0,African-American,-893736900.0,17,Intake,English,Post Sentence,Probation,Single,1358420762.0,1,8,Low
PRETRIAL,1,Hispanic,-859423998.0,22,Intake,English,Post Sentence,Jail Inmate,Single,1358450524.0,1,8,Medium
PRETRIAL,0,Hispanic,-911726008.0,17,Intake,English,Post Sentence,Probation,Single,1357453040.0,1,8,Medium
PRETRIAL,0,African-American,363354893.0,17,Intake,English,Post Sentence,Residential Program,Widowed,1358489333.0,2,8,Medium
